"","item","Modality","Conc.M","CBOI_Mean","Max_strength.perceptual","Perceptibility"
"1","baa baa",NA,NA,NA,NA,NA
"2","choo choo",NA,NA,NA,NA,NA
"3","cockadoodledoo","auditory",NA,NA,NA,NA
"4","grrr","auditory",NA,NA,NA,NA
"5","meow","auditory",3.92,3.379310345,4.75,0.0424769291996878
"6","moo","auditory",3.4,NA,4.8,NA
"7","ouch",NA,2.76,5.208333333,4.210526316,0.731922412118149
"8","quack quack",NA,NA,NA,NA,NA
"9","uh oh",NA,NA,NA,NA,NA
"10","vroom","auditory",NA,NA,NA,NA
"11","woof woof",NA,NA,NA,NA,NA
"12","yum yum",NA,NA,NA,NA,NA
"13","alligator",NA,4.96,3.553191489,4.8125,0.237573598889292
"14","animal",NA,4.61,6.155555556,4.555555556,1.7999072471259
"15","ant",NA,4.86,5.785714286,4.266666667,1.20737969590497
"16","bear",NA,4.88,4.25,4.315789474,0.168702039541921
"17","bee",NA,4.88,5.382352941,4.5,1.18554052123527
"18","bird",NA,5,5.038461538,4.12,0.507773883426681
"19","bug",NA,5,5.59375,4.19047619,0.98380655031776
"20","bunny",NA,4.97,5.653846154,4.6,1.49290780790312
"21","butterfly",NA,4.93,5.785714286,4.5625,1.54420316005662
"22","cat",NA,4.86,6.111111111,4.789473684,2.03455810321708
"23","chicken",NA,NA,NA,NA,NA
"24","cow",NA,4.96,4.96969697,3.95,0.265205859900334
"25","deer",NA,4.86,3.956521739,4.368421053,0.0194444652429219
"26","dog",NA,4.85,6.511111111,4.588235294,2.09054338150295
"27","donkey",NA,5,5.057142857,4.5,0.95374142776629
"28","duck",NA,4.86,5.111111111,4.421052632,0.902322058718011
"29","elephant",NA,5,3.642857143,4.35,-0.225098823389359
"30","fish",NA,NA,NA,NA,NA
"31","frog",NA,5,5.038461538,3.777777778,0.118133969780729
"32","giraffe",NA,4.73,3.56,4.222222222,-0.429639116023648
"33","goose",NA,4.81,3.59375,4.105263158,-0.538747921935798
"34","hen",NA,4.9,4.666666667,4.222222222,0.35915662803124
"35","horse",NA,5,5.40625,4.647058824,1.37000859045607
"36","kitty",NA,4.97,6.576923077,4.111111111,1.59421834857696
"37","lambs",NA,NA,NA,NA,NA
"38","lion",NA,4.96,3.703703704,4.823529412,0.357411402081764
"39","monkey",NA,4.9,3.53125,3.80952381,-0.920012331095282
"40","moose",NA,4.97,2.916666667,4.0625,-1.07003908312716
"41","mouse",NA,4.83,5.346153846,4.076923077,0.678041296593296
"42","owl",NA,4.93,4.444444444,4.647058824,0.68446510043863
"43","penguin",NA,5,3.888888889,4.45,0.0641203637595671
