Words,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,mean,std,%unknown
aandachtig,2,6,2,3,4,3,5,7,5,6,3,4,5,3,4,4,4,5,4,5,4.20,1.32,0
aandrijvend,4,2,1,4,4,5,3,2,4,3,3,5,4,4,3,3,2,5,4,5,3.50,1.15,0
aangenaam,3,4,3,1,4,3,5,7,3,5,3,3,5,4,4,5,2,3,5,4,3.80,1.32,0
aangrijpend,4,4,5,1,5,2,6,4,4,6,1,1,5,5,6,5,3,6,6,5,4.20,1.74,0
aanstaand,1,1,3,3,1,3,3,2,5,7,3,1,4,6,2,5,3,5,3,5,3.30,1.75,0
aantrekkelijk,6,6,4,6,4,1,3,2,5,3,4,5,3,6,2,3,3,4,5,5,4.00,1.49,0
aanwezig,5,5,7,5,7,4,7,5,6,7,6,7,7,5,6,5,7,6,6,7,6.00,0.97,0
aanzienlijk,3,4,7,3,4,1,5,5,3,4,1,4,3,3,3,2,3,2,1,5,3.30,1.53,0
aardig,7,7,5,4,5,5,4,7,6,5,7,5,4,5,3,6,6,3,3,4,5.05,1.36,0
aards,5,6,2,3,4,2,3,2,4,3,4,3,4,3,4,3,NaN,1,6,5,3.53,1.35,0.05
aarzelend,4,6,3,2,5,4,5,7,4,6,6,2,5,4,5,5,4,4,6,3,4.50,1.36,0
abnormaal,6,2,5,5,4,2,2,3,5,4,3,6,3,1,3,2,3,6,4,4,3.65,1.50,0
absoluut,7,2,5,7,4,7,1,2,3,2,2,6,2,1,1,3,2,4,5,4,3.50,2.06,0
abstract,7,4,6,4,1,5,2,1,6,1,2,5,1,1,7,4,4,7,1,2,3.55,2.28,0
achteloos,NaN,6,7,5,4,3,2,2,2,3,3,3,5,4,2,4,NaN,NaN,4,5,3.76,1.48,0.15
achterbaks,7,6,4,5,4,5,2,3,3,4,3,5,4,2,5,4,2,4,5,4,4.05,1.32,0
achterlijk,5,5,4,4,5,4,2,3,4,3,3,5,3,5,4,2,1,6,3,3,3.70,1.26,0
achtste,6,7,7,7,7,6,7,7,5,7,7,7,7,6,7,7,7,7,7,7,6.75,0.55,0
actief,4,6,7,6,7,3,5,7,6,5,6,5,5,1,5,6,4,5,3,6,5.10,1.52,0
actueel,3,6,4,1,4,3,6,4,5,6,5,6,5,5,6,5,5,4,5,3,4.55,1.32,0
adembenemend,5,7,5,5,3,5,2,2,5,4,5,3,3,6,3,3,5,2,3,5,4.05,1.43,0
afgelopen,5,5,4,7,4,4,5,7,7,6,3,5,7,4,6,6,3,5,6,6,5.25,1.29,0
afgrijselijk,6,4,4,5,3,4,2,5,4,3,3,4,2,4,5,3,2,6,3,4,3.80,1.20,0
afhankelijk,4,3,6,5,4,3,4,2,6,7,7,5,5,6,3,7,6,5,5,5,4.90,1.45,0
afschuwelijk,4,5,5,3,4,5,2,5,5,3,2,6,3,4,4,4,2,4,6,5,4.05,1.23,0
afstandelijk,6,4,5,4,2,2,2,3,4,3,3,4,1,2,5,4,4,1,4,4,3.35,1.35,0
afstotelijk,7,7,5,3,2,1,2,4,6,4,5,5,3,5,5,2,2,4,4,5,4.05,1.70,0
afwezig,4,4,7,3,5,7,2,1,5,6,5,4,5,2,3,4,6,4,1,4,4.10,1.74,0
afzienbaar,3,3,4,4,4,1,5,4,3,4,3,3,5,4,4,1,1,2,3,1,3.10,1.29,0
agressief,7,7,5,5,5,6,3,4,6,4,3,6,4,5,6,6,6,2,5,5,5.00,1.34,0
algemeen,5,5,6,2,4,2,5,6,5,4,4,5,4,3,1,5,4,2,1,5,3.90,1.55,0
allerbest,2,4,7,4,4,7,1,1,5,4,1,6,3,2,4,2,3,2,7,6,3.75,2.05,0
amateuristisch,6,7,5,6,3,5,2,3,6,4,5,7,4,4,3,2,3,6,5,4,4.50,1.54,0
ambitieus,4,5,7,4,5,6,4,5,4,5,4,5,4,4,3,5,4,2,1,4,4.25,1.29,0
Amerikaans,3,6,5,5,7,7,7,7,5,4,2,5,7,6,7,7,6,3,5,7,5.55,1.57,0
amper,3,1,4,2,4,4,1,3,4,3,1,1,1,1,1,3,1,1,3,4,2.30,1.30,0
angstig,6,6,7,4,7,5,7,1,4,5,2,6,3,3,2,7,3,3,1,6,4.40,2.06,0
antiek,4,5,4,6,6,7,5,6,4,3,3,6,5,2,6,5,7,7,6,6,5.15,1.42,0
apart,5,2,7,4,4,7,5,2,7,6,7,3,4,4,1,3,5,5,2,7,4.50,1.93,0
arm,2,5,3,2,6,4,5,1,5,6,5,5,5,4,4,6,3,1,3,3,3.90,1.59,0
armoedig,3,4,7,5,5,5,5,1,4,4,5,5,1,2,4,4,5,3,1,5,3.90,1.62,0
arrogant,7,6,5,6,5,6,3,3,6,3,2,6,2,5,5,4,5,4,4,5,4.60,1.43,0
artistiek,5,6,5,3,2,6,3,2,3,4,3,5,5,4,5,4,6,4,2,4,4.05,1.32,0
asociaal,5,7,3,6,4,4,2,3,6,3,2,5,3,3,5,4,3,5,4,5,4.10,1.37,0
asymmetrisch,7,7,5,7,3,7,5,7,7,4,3,6,7,2,4,6,2,2,6,7,5.20,1.94,0
avondlijk,5,5,NaN,6,4,5,3,1,6,3,3,NaN,3,NaN,3,5,1,NaN,3,4,3.75,1.53,0.2
baldadig,NaN,3,7,NaN,4,4,4,2,2,3,1,NaN,4,NaN,1,4,5,NaN,4,4,3.47,1.55,0.25
bang,2,5,2,1,4,5,5,7,3,6,3,3,5,4,5,6,3,6,4,2,4.05,1.64,0
bar,NaN,5,NaN,3,5,NaN,2,5,7,7,6,4,2,5,2,6,4,2,1,7,4.29,1.99,0.15
barbaars,2,5,6,2,5,5,5,6,3,5,5,5,5,4,4,5,5,4,4,3,4.40,1.14,0
