MOT,WORD,Mean_BOI,SD_BOI
Abeille,Bee,1.11,1.24
Acacia,Acacia,1.67,1.87
Aigle,Eagle,0.71,1.04
Aiguille,Needle,3.11,1.82
Alcool,Alcohol,2.76,1.96
Ambulance,Ambulance,1.65,1.73
Ami,Friend,3.27,1.87
Ampoule,Bulb,2.85,1.80
Ananas,Pineapple,3.14,1.82
Anniversaire,Birthday,0.71,1.49
Appareil photo,Camera,3.62,1.66
Araignée,Spider,1.68,1.68
Arbre,Tree,2.90,1.86
Arc-en-ciel,Rainbow,0.15,0.68
Argent,Money,3.65,1.69
Arrosoir,Watering can,3.34,1.76
Assiette,Plate,3.94,1.64
Bague,Ring,3.56,1.86
Baleine,Whale,0.44,0.84
Balle de tennis,Tennis ball,3.15,1.82
Ballon de baudruche,Balloon,2.77,1.94
Ballon de foot,Soccer ball,3.39,1.84
Bambou,Bamboo,1.89,1.85
Banane,Banana,3.78,1.62
Barbelé,Barbed wire,1.56,1.59
Barquette,Tray,2.42,2.02
Basket,Basketball,3.38,1.90
Bateau,Boat,1.98,1.78
Bavoir,Bib,2.95,1.97
Bébé,Baby,3.49,1.75
Berlingot,Carton,2.72,2.02
Biberon,Nursing bottle,3.13,1.89
Biscuit,Biscuit,3.73,1.68
Blé,Wheat,2.33,1.86
Blessure,Injury,2.12,1.91
Bobine de fil,Spool of thread,2.82,1.92
Bol,Bowl,3.79,1.65
Bombe,Bomb,0.88,1.31
Bonbon,Candy,3.50,1.77
Bosse,Bump,1.67,1.87
Botte,Boot,3.38,1.82
Bouée,Buoy,2.89,1.87
Bougie,Candle,3.19,1.81
Bouquet,Bouquet,2.89,1.98
Bouteille,Bottle,3.97,1.55
Briquet,Lighter,3.08,1.90
Brosse à dents,Toothbrush,4.27,1.39
Bulle,Bubble,1.48,1.46
Caddie,Shopping cart,3.57,1.57
Cadeau,Gift,2.95,1.87
Cadenas,Padlock,3.05,1.89
Cage,Cage,2.19,1.87
Caisse enregistreuse,Cash register,2.50,1.88
Caméléon,Chameleon,0.82,1.19
Canapé,Sofa,4.18,1.49
