,,,,,,,,,FIC,,,,,,,SAM,,,,,,,action effectors,,,,,,,,,,,perceptual modalities,,,,,,,,,,,,,,,,,,,,,,,,
Ita_Word,WordClass,Let_ITA,FreqColfis,Ln_Colfis,FreqRepub,Ln_FreqRep,N_OrtNeig,MeanFreq_Neig,N_Part_p,M_Fam,SD_Fam,M_Ima,SD_Ima,M_Con,SD_Con,N_Part_a,M_Val,SD_Val,M_Aro,SD_Aro,M_Dom,SD_Dom,N_Part,M_head,SD_head,M_foot/leg,SD_foot/leg,M_hand/arm,SD_hand/arm,M_mouth/throat,SD_mouth/throat,M_torso,SD_torso,N_Part,M_int,SD_int,M_taste,SD_taste,M_smell,SD_smell,M_touch,SD_touch,M_audition,SD_audition,M_vision,SD_vision,Max_strength.action,Exclusivity.action,Dominant.action,Max_strength.perceptual,Exclusivity.perceptual,Dominant.perceptual,Max_strength.sensorimotor,Exclusivity.sensorimotor,Dominant.sensorimotor,,,
abbaglio,n,8,13,2.64,577,6.36,1,0.313357,20,5.50,1.91,6.40,2.41,4.25,2.61,33,3.94,1.77,5.67,1.55,4.30,1.63,21,3.43,1.66,0.00,0.00,0.14,0.36,0.30,0.80,0.05,0.22,21,1.90,1.79,0.00,0.00,0.14,0.36,0.19,0.40,0.52,1.08,4.62,0.67,3.43,0.87,head,4.62,0.63,vision,3.43,0.41,vision,,,
abbondanza,n,10,32,3.5,2257,7.72,1,0.313357,20,5.90,1.62,6.80,1.54,4.75,2.02,33,6.82,2.08,5.09,1.99,5.42,1.94,21,2.19,1.81,0.00,0.00,0.90,1.37,0.90,1.14,0.57,1.21,21,2.52,1.57,1.05,1.47,0.50,0.95,1.67,1.93,0.86,1.42,3.29,1.95,2.19,0.48,head,3.29,0.29,vision,2.19,0.23,vision,,,
abbraccio,n,9,47,3.87,4902,8.5,2,5.170395,20,7.75,1.92,8.35,1.50,7.70,1.75,33,7.70,1.79,5.70,2.74,5.73,2.17,21,2.62,1.80,0.71,1.10,4.90,0.31,0.48,0.87,3.38,2.01,21,3.19,1.81,0.05,0.22,1.86,1.98,4.85,0.37,1.00,1.38,3.05,1.91,4.90,0.37,hand/arm,4.85,0.31,touch,4.90,0.19,hand/arm,,,
abete,n,5,17,2.89,732,6.6,5,16.9212934,20,7.75,1.59,8.30,0.98,8.05,1.32,35,6.17,1.29,4.51,1.90,5.34,1.43,21,1.62,1.86,0.76,1.26,2.43,1.83,0.71,1.19,0.48,0.87,21,0.71,1.01,0.29,0.64,2.95,1.50,3.43,1.89,1.00,1.52,4.19,1.40,2.43,0.33,hand/arm,4.19,0.32,vision,2.43,0.21,vision,,,
abitante,n,8,270,5.6,19822,9.89,1,77.3993,20,7.50,1.54,7.00,1.92,6.60,1.93,33,5.67,1.43,4.97,2.11,5.67,1.41,21,1.33,1.53,0.76,1.04,0.95,1.36,0.76,1.22,0.45,0.69,21,1.24,1.51,0.48,0.87,0.57,0.87,0.86,1.20,1.29,1.59,2.81,1.75,1.33,0.21,head,2.81,0.31,vision,1.33,0.21,vision,,,
abitazione,n,10,160,5.08,12537,9.44,2,11.59422,20,8.15,1.27,8.40,1.14,8.35,1.14,35,7.14,1.15,6.29,2.05,6.14,1.74,21,2.57,1.91,2.19,1.89,2.19,1.91,1.10,1.51,2.48,2.16,21,2.62,2.01,0.40,0.94,3.43,1.78,3.29,1.71,2.57,1.75,4.60,0.60,2.57,0.14,head,4.60,0.27,vision,2.57,0.15,vision,,,
abito,n,5,315,5.76,13732,9.53,7,14.145861,20,8.20,1.32,8.35,1.04,8.60,0.88,33,7.27,1.64,5.58,2.25,6.03,1.70,21,1.76,1.84,2.19,1.91,2.76,1.92,0.30,0.73,4.19,0.87,21,1.24,1.51,0.05,0.22,0.71,1.01,4.30,0.73,0.40,0.60,4.80,0.52,4.19,0.35,torso,4.80,0.42,vision,4.19,0.21,vision,,,
abitudini,n,9,195,5.28,10610,9.27,1,33.5292,20,6.75,1.80,5.80,2.50,4.25,2.88,33,4.91,2.14,4.88,2.03,4.97,1.69,20,2.37,1.98,1.30,1.45,1.40,1.54,1.10,1.52,0.90,1.45,20,2.00,2.00,0.85,1.18,0.47,0.70,0.53,0.70,1.00,1.34,1.40,1.39,2.37,0.21,head,2.00,0.21,interoception,2.37,0.14,head,,,
aborto,n,6,79,4.38,8688,9.07,1,3.76029,20,4.55,2.24,6.20,2.35,5.75,2.24,33,2.06,1.62,6.58,2.00,4.27,2.28,18,2.67,2.20,0.29,0.99,0.06,0.24,0.35,0.86,2.83,2.12,18,4.00,1.68,0.00,0.00,0.12,0.49,0.89,1.78,0.72,1.32,2.06,1.86,2.83,0.45,torso,4.00,0.39,interoception,2.83,0.29,interoception,,,
abuso,n,5,71,4.28,10206,9.23,2,5.170396,20,4.70,2.03,6.05,2.35,5.80,2.59,34,1.74,1.08,6.12,2.16,4.44,1.76,21,2.62,1.94,1.14,1.49,1.38,1.56,1.48,1.78,1.10,1.34,21,3.57,1.78,0.10,0.31,0.33,0.66,1.33,1.74,1.86,2.06,2.48,2.09,2.62,0.20,head,3.57,0.30,interoception,2.62,0.20,interoception,,,
Accendere ,v,9,2,0.69,11145,9.32,4,0.330523507,21,7.24,2.19,7.76,2.21,7.38,2.31,21,6.14,1.20,5.14,2.03,6.71,1.45,21,2.05,1.75,0.25,0.55,3.43,1.75,0.55,1.05,0.10,0.45,21,0.76,1.26,0.20,0.52,1.19,1.63,3.48,1.69,2.00,1.73,4.10,1.09,3.43,0.52,hand/arm,4.10,0.33,vision,3.43,0.22,vision,,,
accettazione,n,12,24,3.22,3154,8.06,1,0.313357,20,6.20,1.74,5.45,2.46,4.40,2.41,33,5.79,2.19,5.06,2.30,4.67,1.93,21,3.62,1.83,0.00,0.00,1.14,1.65,1.10,1.79,0.81,1.69,21,3.81,1.66,0.00,0.00,0.00,0.00,0.86,1.62,1.43,2.04,1.33,2.06,3.62,0.54,head,3.81,0.36,interoception,3.62,0.27,interoception,,,
