Num_ANEW;ANEW;Eng_Word;Ita_Word;WordClass;Specificity_scaled
717;1;dazzle;abbaglio;s;3.1142857142857143
722;1;derelict;abbandonato;a;3.580645161290323
624;1;abundance;abbondanza;s;2.3440000000000003
218;1;hug;abbraccio;s;3.5142857142857147
-;0;fir;abete;s;4.6
813;1;inhabitant;abitante;s;1.5714285714285714
563;1;house;abitazione;s;2.2
133;1;dress;abito;s;1.9142857142857144
775;1;habit;abitudini;s;1.544
622;1;abortion;aborto;s;3.9417142857142857
1;1;abuse;abuso;s;2.2868571428571425
625;1;acceptance;accettazione;s;2.771428571428572
88;1;cozy;accogliente;a;2.7419354838709684
135;1;easygoing;accomodante;a;3.838709677419355
631;1;agreement;accordo;s;2.4285714285714293
486;1;water;acqua;s;2.7142857142857144
6;1;adorable;adorabile;a;2.450322580645161
221;1;hungry;affamato;a;3.549677419354839
159;1;fascinate;affascinare;v;2.225725094577553
162;1;fatigued;affaticato;a;3.6761290322580646
7;1;affection;affetto;s;2.3142857142857136
195;1;grief;afflizione;s;3.2857142857142856
591;1;drown;affogare;v;3.383354350567465
27;1;assault;aggressione;s;2.3714285714285714
9;1;aggressive;aggressivo;a;3.2270967741935483
848;1;limber;agile;a;2.419354838709677
22;1;agility;agilità;s;2.515428571428572
837;1;lamb;agnello;s;4.0285714285714285
897;1;needle;ago;s;3.971428571428572
10;1;agony;agonia;s;3.029714285714286
420;1;sunrise;alba;s;3.457142857142857
450;1;tree;albero;s;2.0857142857142854
582;1;alcoholic;alcolista;s;3.971428571428572
633;1;alien;alieno;a;3.0954838709677417
636;1;allergy;allergia;s;2.8011428571428567
11;1;alert;allerta;s;3.2582857142857145
14;1;ambition;ambizione;s;2.3440000000000003
15;1;ambulance;ambulanza;s;4.142857142857142
174;1;friend;amico;s;2.5702857142857143
5;1;admired;ammirato;a;3.0335483870967743
263;1;love;amore;s;1.7999999999999998
16;1;angel;angelo;s;3.029714285714286
700;1;corner;angolo;s;2.3142857142857136
19;1;anguished;angosciato;a;3.4206451612903233
48;1;bored;annoiato;a;2.9354838709677415
21;1;anxious;ansioso;a;2.67741935483871
259;1;listless;apatico;a;4.225806451612904
583;1;bees;ape;s;4.085714285714285
-;0;clothes_hanger;appendiabiti;s;4.113142857142858
267;1;luscious;appetitoso;a;3.7096774193548385
640;1;applause;applauso;s;3.8
252;1;learn;apprendere;v;1.7011349306431274
343;1;rainbow;arcobaleno;s;4.113142857142858
632;1;air;aria;s;2.3440000000000003
489;1;weapon;arma;s;1.7154285714285713
850;1;locker;armadietto;s;3.8
-;0;closet;armadio;s;3.1714285714285717
18;1;angry;arrabbiato;a;3.1625806451612903
25;1;arrogant;arrogante;a;3.740645161290322
367;1;rusty;arrugginito;v;4.238335435056746
643;1;art;arte;s;1.0845714285714287
738;1;elevator;ascensore;s;4.058285714285715
561;1;hairdryer;asciugacapelli;s;4.401142857142856
910;1;nursery;asilo;s;2.9428571428571435
989;1;sour;aspro;a;4.001290322580647
141;1;embattled;assediato;a;4.225806451612904
381;1;secure;assicurare;v;1.4186633039092056
626;1;ace;asso;s;3.0
623;1;absurd;assurdo;a;1.5806451612903225
474;1;venom;astio;s;3.2285714285714286
501;1;astronaut;astronauta;s;4.314285714285714
644;1;athletics;atletica;s;2.4285714285714293
933;1;penthouse;attico;s;4.257142857142857
4;1;activate;attivare;v;1.0
199;1;handsome;attraente;a;2.450322580645161
1015;1;tool;attrezzo;s;1.5142857142857142
45;1;bold;audace;a;3.580645161290323
715;1;dawn;aurora;s;3.457142857142857
541;1;bus;autobus;s;4.058285714285715
551;1;car;automobile;s;3.1142857142857143
562;1;highway;autostrada;s;3.656
29;1;autumn;autunno;s;3.1714285714285717
769;1;greed;avidità;s;3.3428571428571425
630;1;adventure;avventura;s;1.4
782;1;hardship;avversità;s;1.8571428571428568
248;1;kiss;bacio;s;3.3725714285714288
269;1;maggot;baco;s;4.257142857142857
548;1;bathroom;bagno;s;2.771428571428572
-;0;balcony;balcone;s;3.4
70;1;child;bambino;s;2.3988571428571426
728;1;doll;bambola;s;3.0571428571428574
32;1;bankrupt;bancarotta;s;4.001142857142857
753;1;flag;bandiera;s;2.741714285714286
650;1;bar;bar;s;2.8011428571428567
76;1;coffin;bara;s;4.001142857142857
529;1;sailboat;barca;s;3.0
651;1;barrel;barile;s;3.3428571428571425
677;1;cane;bastone;s;2.8011428571428567
660;1;bliss;beatitudine;s;3.0
31;1;baby;bebè;s;3.3154285714285714
35;1;beauty;bellezza;s;1.6971428571428573
654;1;beautiful;bello;a;1.2245161290322581
648;1;bandage;benda;s;3.4297142857142857
42;1;bless;benedire;v;3.756620428751576
659;1;blasphemy;bestemmia;s;3.886857142857143
653;1;beast;bestia;s;1.4868571428571429
542;1;white;bianco;a;3.2580645161290325
657;1;beverage;bibita;s;2.3440000000000003
-;0;glass;bicchiere;s;3.3428571428571425
-;0;bicycle;bicicletta;s;3.2582857142857145
662;1;blond;biondo;a;3.7096774193548385
75;1;cockroach;blatta;s;4.44
544;1;blue;blu;a;3.1935483870967745
-;0;mouth;bocca;s;3.029714285714286
970;1;scalding;bollente;a;4.225806451612904
832;1;kettle;bollitore;s;3.9417142857142857
46;1;bomb;bomba;s;2.970285714285714
664;1;board;bordo;s;2.6
666;1;bottle;bottiglia;s;3.4
667;1;bouquet;bouquet;s;3.1714285714285717
642;1;arm;braccio;s;3.656
307;1;patent;brevetto;s;3.886857142857143
669;1;breeze;brezza;s;3.9417142857142857
586;1;burn;bruciatura;s;3.0845714285714285
53;1;brutal;brutale;a;3.8154838709677423
460;1;ugly;brutto;a;1.2890322580645162
257;1;lie;bugia;s;2.7142857142857144
766;1;good;buono;a;1.0980645161290319
57;1;butter;burro;s;4.257142857142857
-;0;cactus;cactus;s;4.343999999999999
86;1;corpse;cadavere;s;3.9417142857142857
743;1;fall;caduta;s;1.9714285714285715
834;1;kick;calciare;v;3.383354350567465
483;1;warmth;calore;s;1.9417142857142855
-;0;sock;calza;s;2.741714285714286
-;0;bedroom;camera;s;2.2868571428571425
-;0;shirt;camicia;s;3.3154285714285714
577;1;truck;camion;s;3.8571428571428568
682;1;champ;campione;s;1.7999999999999998
558;1;field;campo;s;1.685714285714286
181;1;gangrene;cancrena;s;4.199999999999998
60;1;cancer;cancro;s;2.6274285714285712
-;0;candelabrum;candelabro;s;4.371428571428572
511;1;dog;cane;s;2.4285714285714293
678;1;cannon;cannone;s;3.6011428571428565
1026;1;vest;canottiera;s;4.142857142857142
681;1;cellar;cantina;s;3.5142857142857147
987;1;song;canzone;s;3.0571428571428574
684;1;chaos;caos;s;1.7725714285714285
62;1;capable;capace;a;1.9677419354838708
903;1;nipple;capezzolo;s;5.0
783;1;hat;cappello;s;2.6
906;1;noose;cappio;s;4.6571428571428575
-;0;coat;cappotto;s;3.2285714285714286
603;1;rifle;carabina;s;4.9725714285714275
829;1;jug;caraffa;s;4.199999999999998
61;1;candy;caramella;s;3.1714285714285717
679;1;carcass;carcassa;s;3.541714285714286
236;1;jail;carcere;s;3.4
64;1;caress;carezza;s;3.5142857142857147
97;1;cute;carino;a;1.3870967741935485
1029;1;wagon;carro;s;2.6274285714285712
-;0;carriage;carrozza;s;3.4845714285714284
303;1;paper;carta;s;2.0285714285714285
209;1;home;casa;s;2.142857142857143
487;1;waterfall;cascata;s;3.2285714285714286
680;1;casino;casinò;s;3.914285714285714
-;0;chest_of_drawers;cassettiera;s;4.113142857142858
401;1;slum;catapecchia;s;3.6011428571428565
741;1;evil;cattivo;a;1.3535483870967742
842;1;lawsuit;causa;s;1.7154285714285713
214;1;horse;cavallo;s;3.571428571428572
638;1;ankle;caviglia;s;4.343999999999999
587;1;cell;cellula;s;3.2857142857142856
509;1;dinner;cena;s;2.858285714285714
-;0;centerpiece;centrotavola;s;4.113142857142858
687;1;circle;cerchio;s;3.3154285714285714
-;0;brain;cervello;s;3.4
547;1;basket;cesto;s;2.741714285714286
68;1;charm;charme;s;2.657142857142857
243;1;kerosene;cherosene;s;4.798857142857143
833;1;key;chiave;s;2.8857142857142857
71;1;church;chiesa;s;2.515428571428572
612;1;surgery;chirurgia;s;3.0
514;1;food;cibo;s;1.2857142857142856
973;1;scar;cicatrice;s;3.7725714285714287
-;0;cyclamen;ciclamino;s;4.9725714285714275
98;1;cyclone;ciclone;s;4.001142857142857
205;1;heaven;cielo;s;2.8285714285714287
-;0;cherry_tree;ciliegio;s;4.343999999999999
65;1;cemetery;cimitero;s;3.5142857142857147
505;1;chocolate;cioccolato;s;3.7131428571428566
72;1;circus;circo;s;3.1714285714285717
73;1;city;città;s;2.3988571428571426
94;1;cuddle;coccolare;v;3.136191677175284
703;1;coward;codardo;a;3.549677419354839
17;1;anger;collera;s;2.9428571428571435
89;1;crash;collisione;s;3.1142857142857143
-;0;neck;collo;s;3.3725714285714288
730;1;dove;colombo;s;3.571428571428572
695;1;column;colonna;s;2.6
694;1;color;colore;s;1.544
747;1;fault;colpa;s;1.9142857142857144
594;1;hit;colpire;v;1.3152585119798237
596;1;knife;coltello;s;3.886857142857143
696;1;comfort;comfort;s;2.3988571428571426
77;1;comedy;commedia;s;2.0582857142857143
150;1;errand;commissione;s;2.515428571428572
-;0;dresser;comò;s;3.8
-;0;bedside_table;comodino;s;3.827428571428572
39;1;birthday;compleanno;s;3.656
552;1;computer;computer;s;3.914285714285714
78;1;concentrate;concentrarsi;v;2.742749054224464
80;1;confused;confuso;a;2.2567741935483867
54;1;bunny;coniglietto;s;4.0285714285714285
527;1;rabbit;coniglio;s;3.8
249;1;knowledge;conoscenza;s;1.5142857142857142
81;1;consoled;consolato;s;3.3154285714285714
503;1;cash;contante;s;2.8857142857142857
83;1;contents;contenuto;s;1.544
84;1;context;contesto;s;1.7154285714285713
506;1;couple;coppia;s;2.4285714285714293
668;1;brave;coraggioso;a;2.8374193548387097
698;1;cord;corda;s;2.858285714285714
-;0;frame;cornice;s;3.1142857142857143
90;1;crown;corona;s;3.3154285714285714
665;1;body;corpo;s;2.4285714285714293
701;1;corridor;corridoio;s;3.2285714285714286
571;1;runner;corridore;s;3.3428571428571425
245;1;kind;cortese;a;2.806451612903226
320;1;politeness;cortesia;s;2.4857142857142858
691;1;coast;costa;s;2.6274285714285712
608;1;skull;cranio;s;4.314285714285714
-;0;cupboard;credenza;s;2.5702857142857143
1022;1;twilight;crepuscolo;s;4.0285714285714285
705;1;criminal;criminale;a;3.967741935483871
704;1;crime;crimine;s;2.2274285714285718
706;1;crisis;crisi;s;1.342857142857143
91;1;crucify;crocifiggere;v;4.914249684741488
92;1;cruel;crudele;a;3.838709677419355
-;0;spoon;cucchiaio;s;3.541714285714286
336;1;puppy;cucciolo;s;2.4582857142857137
709;1;cuisine;cucina;s;2.0582857142857143
697;1;cook;cucinare;v;1.9155107187894076
787;1;heart;cuore;s;3.0
315;1;pillow;cuscino;s;3.2857142857142856
808;1;impair;danneggiare;v;1.9785624211853718
712;1;damage;danno;s;1.9142857142857144
101;1;debt;debito;s;2.515428571428572
164;1;feeble;debole;a;1.998709677419355
102;1;decompose;decomporsi;v;4.3139974779319035
719;1;decorate;decorare;v;2.7225725094577555
720;1;deformed;deforme;a;4.290322580645162
105;1;delight;delizia;s;1.8571428571428568
120;1;disappoint;deludere;v;2.233291298865069
106;1;demon;demonio;s;2.8857142857142857
282;1;money;denaro;s;2.9428571428571435
589;1;dentist;dentista;s;4.371428571428572
108;1;depression;depressione;s;2.970285714285714
107;1;depressed;depresso;a;3.1935483870967745
1010;1;tease;deridere;v;2.9974779319041613
1034;1;wish;desiderio;s;1.8571428571428568
114;1;detest;detestare;v;2.372005044136192
724;1;detail;dettaglio;s;2.3142857142857136
117;1;diamond;diamante;s;4.371428571428572
115;1;devil;diavolo;s;3.3154285714285714
118;1;dignified;dignitoso;a;3.3870967741935485
190;1;god;dio;s;2.7142857142857144
628;1;addicted;dipendente;a;2.772903225806452
119;1;diploma;diploma;s;3.628571428571429
121;1;disaster;disastro;s;1.4
733;1;dump;discarica;s;3.029714285714286
375;1;scorn;disdegno;s;3.656
109;1;deserter;disertore;s;3.8571428571428568
124;1;disgusted;disgustato;a;3.580645161290323
41;1;blase;disincantato;a;4.35483870967742
296;1;nonchalant;disinvolto;a;3.580645161290323
873;1;messy;disordinato;a;3.0645161290322585
110;1;despairing;disperato;a;3.645161290322581
878;1;mischief;dispetto;s;2.8011428571428567
126;1;displeased;dispiaciuto;a;2.8374193548387097
111;1;despise;disprezzare;v;2.9848675914249685
82;1;contempt;disprezzo;s;2.970285714285714
113;1;detached;distaccato;a;2.643870967741936
13;1;aloof;distante;a;2.0658064516129038
112;1;destroy;distruggere;v;2.162673392181589
723;1;destruction;distruzione;s;2.4582857142857137
727;1;disturb;disturbare;v;1.7011349306431274
752;1;finger;dito;s;3.457142857142857
-;0;sofa;divano;s;3.141714285714286
759;1;fun;divertimento;s;1.3702857142857143
128;1;divorce;divorzio;s;3.656
729;1;dollar;dollaro;s;3.7725714285714287
627;1;ache;dolore;s;1.2857142857142856
85;1;controlling;dominante;a;3.6761290322580646
498;1;woman;donna;s;2.6
943;1;present;dono;s;1.9714285714285715
399;1;sleep;dormire;v;1.8121059268600253
129;1;doctor;dottore;s;1.9714285714285715
581;1;addict;drogato;s;3.4845714285714284
781;1;hard;duro;a;2.323870967741936
151;1;excellence;eccellenza;s;2.4582857142857137
922;1;outstanding;eccezionale;a;2.9045161290322583
24;1;aroused;eccitato;a;3.1935483870967745
152;1;excitement;eccitazione;s;2.5428571428571427
550;1;building;edificio;s;2.1725714285714286
382;1;selfish;egoista;a;3.740645161290322
-;0;elephant;elefante;s;3.8571428571428568
139;1;elegant;elegante;a;2.354838709677419
825;1;item;elemento;s;1.0
641;1;appliance;elettrodomestico;s;2.3142857142857136
-;0;helicopter;elicottero;s;4.343999999999999
203;1;headache;emicrania;s;4.284571428571429
438;1;thrill;entusiasmare;v;3.244640605296343
1040;1;zest;entusiasmo;s;2.3142857142857136
768;1;grass;erba;s;2.6845714285714286
789;1;heroin;eroina;s;3.5142857142857147
512;1;erotic;erotico;a;4.063225806451611
880;1;mistake;errore;s;1.9142857142857144
154;1;execution;esecuzione;s;2.2868571428571425
23;1;army;esercito;s;2.657142857142857
155;1;exercise;esercizio;s;1.5714285714285714
735;1;ecstasy;estasi;s;2.741714285714286
138;1;elated;esultante;a;3.580645161290323
740;1;event;evento;s;1.4274285714285715
941;1;plain;evidente;a;2.612903225806452
-;0;marker;evidenziatore;s;4.371428571428572
556;1;face;faccia;s;2.771428571428572
734;1;easy;facile;a;1.4206451612903224
536;1;hawk;falco;s;3.8571428571428568
156;1;failure;fallimento;s;2.657142857142857
157;1;fame;fama;s;2.3142857142857136
611;1;starving;famelico;a;4.51483870967742
158;1;family;famiglia;s;2.2868571428571425
745;1;famous;famoso;a;2.870967741935484
785;1;headlight;fanale;s;4.199999999999998
983;1;slush;fanghiglia;s;3.571428571428572
887;1;muddy;fangoso;a;4.548387096774194
746;1;fantasy;fantasia;s;1.6285714285714286
58;1;butterfly;farfalla;s;3.6011428571428565
847;1;lighthouse;faro;s;3.457142857142857
187;1;glamour;fascino;s;2.0857142857142854
936;1;phase;fase;s;1.5142857142857142
908;1;nuisance;fastidio;s;2.2274285714285718
557;1;farm;fattoria;s;3.2582857142857145
748;1;favor;favore;s;1.8571428571428568
830;1;kerchief;fazzoletto;s;3.6011428571428565
750;1;fever;febbre;s;3.3725714285714288
377;1;scum;feccia;s;2.1725714285714286
200;1;happy;felice;a;1.8722580645161293
-;0;sweatshirt;felpa;s;3.029714285714286
394;1;sissy;femminuccia;s;3.541714285714286
468;1;vacation;ferie;s;3.457142857142857
595;1;injury;ferita;s;2.9154285714285715
620;1;wounds;ferite;a;3.2580645161290325
222;1;hurt;ferito;s;2.7142857142857144
565;1;iron;ferro;s;3.3725714285714288
305;1;party;festa;s;1.656
749;1;festive;festivo;a;2.870967741935484
169;1;foul;fetido;a;4.870967741935483
996;1;stench;fetore;s;3.571428571428572
674;1;busybody;ficcanaso;s;4.113142857142858
457;1;trust;fiducia;s;2.3714285714285714
79;1;confident;fiducioso;a;3.4206451612903233
784;1;hay;fieno;s;3.971428571428572
288;1;movie;film;s;2.3142857142857136
495;1;window;finestra;s;2.741714285714286
168;1;flower;fiore;s;1.9714285714285715
44;1;blossom;fiorire;v;3.0126103404791933
572;1;sky;firmamento;s;3.8
1030;1;whistle;fischio;s;3.6011428571428565
362;1;river;fiume;s;2.970285714285714
167;1;flabby;flaccido;a;4.83741935483871
754;1;flirt;flirtare;v;3.9836065573770494
-;0;sheet;foglio;s;3.141714285714286
856;1;mad;folle;a;2.450322580645161
974;1;scissors;forbici;s;3.7428571428571433
560;1;fork;forchetta;s;4.199999999999998
776;1;hairpin;forcina;s;4.771428571428571
414;1;strong;forte;a;1.6116129032258066
780;1;haphazard;fortuito;a;3.903225806451613
266;1;lucky;fortunato;a;2.323870967741936
170;1;fragrance;fragranza;s;2.4857142857142858
52;1;brother;fratello;s;3.3725714285714288
693;1;cold;freddo;a;2.2567741935483867
799;1;icebox;freezer;s;3.971428571428572
758;1;frigid;frigido;a;4.67741935483871
523;1;pancakes;frittella;s;3.9417142857142857
177;1;frustrated;frustrato;a;3.7096774193548385
979;1;shotgun;fucile;s;3.3154285714285714
598;1;lightning;fulmine;s;3.7428571428571433
178;1;funeral;funerale;s;3.7725714285714287
567;1;mushroom;fungo;s;1.9714285714285715
166;1;fire;fuoco;s;3.2582857142857145
-;0;leg;gamba;s;3.3428571428571425
517;1;kitten;gattino;s;3.886857142857143
504;1;cat;gatto;s;3.685714285714286
238;1;jelly;gelatina;s;3.4845714285714284
237;1;jealousy;gelosia;s;2.6274285714285712
763;1;gender;genere;s;1.544
525;1;people;gente;s;1.5988571428571428
183;1;gentle;gentile;a;1.8722580645161293
246;1;kindness;gentilezza;s;2.142857142857143
-;0;geranium;geranio;s;4.485714285714286
764;1;germs;germe;s;2.515428571428572
186;1;glacier;ghiacciaio;s;3.8
196;1;guillotine;ghigliottina;s;4.629714285714286
-;0;jacket;giacca;s;3.1142857142857143
761;1;garden;giardino;s;2.5702857142857143
534;1;garter;giarrettiera;s;4.885714285714286
515;1;gymnast;ginnasta;s;3.6011428571428565
1017;1;toy;giocattolo;s;2.113142857142857
760;1;game;gioco;s;1.2582857142857142
240;1;joy;gioia;s;2.2274285714285718
239;1;jewel;gioiello;s;2.3714285714285714
241;1;joyful;gioioso;a;2.354838709677419
1039;1;youth;gioventù;s;2.142857142857143
827;1;jolly;gioviale;a;3.516129032258065
242;1;justice;giustizia;s;2.1725714285714286
189;1;glory;gloria;s;2.2274285714285718
145;1;enjoyment;godimento;s;2.257142857142857
689;1;clumsy;goffo;a;3.2245161290322586
535;1;golfer;golfista;s;4.6
737;1;elbow;gomito;s;4.428571428571429
-;0;rubber;gomma;s;2.970285714285714
-;0;skirt;gonna;s;3.3428571428571425
-;0;clip;graffetta;s;4.686857142857144
771;1;grenade;granata;s;4.142857142857142
193;1;grateful;grato;a;3.1625806451612903
573;1;skyscraper;grattacielo;s;3.971428571428572
978;1;severe;grave;a;1.838709677419355
326;1;pretty;grazioso;a;2.67741935483871
707;1;crude;grezzo;a;3.6761290322580646
690;1;coarse;grossolano;a;3.1290322580645165
854;1;lump;grumo;s;3.5142857142857147
580;1;watch;guardia;s;2.113142857142857
786;1;heal;guarire;v;2.369482976040353
482;1;war;guerra;s;2.3988571428571426
522;1;owl;gufo;s;3.8
1007;1;taste;gusto;s;1.9988571428571429
777;1;hamburger;hamburger;s;4.542857142857144
779;1;handicap;handicap;s;2.771428571428572
795;1;hotel;hotel;s;3.141714285714286
220;1;humor;humor;s;2.6845714285714286
800;1;idea;idea;s;1.4
801;1;identity;identità;s;1.7268571428571429
802;1;idol;idolo;s;2.113142857142857
564;1;hydrant;idrante;s;4.572571428571429
803;1;ignorance;ignoranza;s;2.5428571428571427
140;1;embarrassed;imbarazzato;a;3.1625806451612903
805;1;imagine;immaginare;v;1.358133669609079
806;1;immature;immaturo;a;2.548387096774194
590;1;dirty;immondizia;s;2.771428571428572
807;1;immoral;immorale;a;2.870967741935484
8;1;afraid;impaurito;a;3.1935483870967745
143;1;engaged;impegnato;a;2.096774193548387
147;1;employment;impiego;s;1.685714285714286
224;1;impotent;impotente;a;3.516129032258065
225;1;impressed;impressionato;a;3.1935483870967745
809;1;incentive;incentivo;s;2.970285714285714
229;1;ink;inchiostro;s;3.685714285714286
2;1;accident;incidente;s;1.9714285714285715
69;1;cheer;incoraggiare;v;2.6847414880201765
295;1;nightmare;incubo;s;2.8857142857142857
206;1;helpless;indifeso;a;3.353548387096774
810;1;indifferent;indifferente;a;2.225806451612903
921;1;outrage;indignazione;s;2.8857142857142857
762;1;garment;indumento;s;1.886857142857143
227;1;industry;industria;s;1.886857142857143
20;1;annoy;infastidire;v;2.4955863808322825
516;1;infatuation;infatuazione;s;3.685714285714286
463;1;unhappy;infelice;a;2.032258064516129
812;1;inferior;inferiore;a;2.450322580645161
538;1;nurse;infermiere;s;3.541714285714286
788;1;hell;inferno;s;2.8011428571428567
228;1;infection;infezione;s;2.2274285714285718
647;1;bake;infornare;v;3.5901639344262297
149;1;enraged;infuriato;a;4.450322580645162
718;1;deceit;inganno;s;2.3440000000000003
755;1;flood;inondazione;s;3.541714285714286
428;1;tense;inquieto;a;3.2580645161290325
321;1;pollute;inquinare;v;2.6595208070617904
369;1;salad;insalata;s;3.029714285714286
1009;1;teacher;insegnante;s;3.1714285714285717
816;1;insect;insetto;s;1.8297142857142856
230;1;insecure;insicuro;a;2.643870967741936
658;1;bland;insipido;a;4.130322580645162
231;1;insolent;insolente;a;4.385806451612903
817;1;insult;insulto;s;2.1725714285714286
361;1;riot;insurrezione;s;3.1988571428571433
818;1;intellect;intelletto;s;3.1714285714285717
234;1;interest;interesse;s;1.6285714285714286
467;1;useless;inutile;a;2.161290322580645
823;1;invader;invasore;s;2.741714285714286
824;1;invest;investire;v;2.1677175283732657
342;1;rage;ira;s;3.1988571428571433
235;1;irritate;irritare;v;2.639344262295082
235;1;irritate;irritare;v;2.3240857503152585
232;1;inspire;ispirare;v;2.122320302648172
233;1;inspired;ispirato;a;2.7419354838709684
137;1;education;istruzione;s;2.305142857142857
831;1;ketchup;ketchup;s;4.856
244;1;killer;killer;s;3.7131428571428566
435;1;thief;ladro;s;3.4
250;1;lake;lago;s;3.2857142857142856
774;1;gripe;lamentela;s;2.7142857142857144
838;1;lamp;lampada;s;2.5702857142857143
566;1;lightbulb;lampadina;s;3.685714285714286
839;1;lantern;lanterna;s;3.886857142857143
663;1;blubber;lardo;s;4.113142857142858
876;1;milk;latte;s;2.8857142857142857
502;1;bath;lavare;v;1.7364438839848677
844;1;leader;leader;s;3.1142857142857143
