"downloaded","item_id","item_definition","category","8","9","10","11","12","13","14","15","16"
2023-03-22,34,"آخ","sounds",0,0.05,0.06,0,0.09,0.29,0.4,0.75,0.75
2023-03-22,35,"اَخ/ اَه/ کخ/گخ","sounds",0.29,0.19,0.19,0.38,0.36,0.36,0.6,0.5,0.5
2023-03-22,36,"بَه بَه / م...م","sounds",0.29,0.52,0.5,0.54,0.64,0.86,0.73,0.75,0.75
2023-03-22,37,"بع بع","sounds",0,0.1,0.12,0.15,0.18,0.36,0.53,0.33,0.5
2023-03-22,38,"بیب بیب","sounds",0,0,0.06,0,0.18,0.14,0.2,0.25,0.5
2023-03-22,39,"پیف","sounds",0,0,0.06,0.08,0.09,0.29,0.33,0.33,0.75
2023-03-22,40,"جیز/اُخ/ اُخه","sounds",0,0.1,0.19,0.23,0.27,0.36,0.53,0.75,0.25
2023-03-22,41,"جیک جیک","sounds",0,0.05,0.06,0,0.09,0.14,0.07,0.25,0
2023-03-22,42,"میو میو","sounds",0,0.05,0.12,0,0.18,0.21,0.4,0.25,0.5
2023-03-22,43,"وای","sounds",0,0,0.06,0,0.18,0.14,0.47,0.25,0.25
2023-03-22,44,"هاپ هاپ","sounds",0,0.05,0.06,0.15,0.18,0.36,0.67,0.5,0.5
2023-03-22,45,"هوهو چی چی","sounds",0,0,0.06,0,0.09,0.14,0.2,0.17,0.5
2023-03-22,46,"آهو","animals",0,0,0,0,0,0,0,0.17,0
2023-03-22,47,"اسب","animals",0,0,0.06,0,0,0,0.13,0.08,0.25
2023-03-22,48,"الاغ","animals",0,0,0.06,0,0,0,0.07,0.08,0
2023-03-22,49,"بره","animals",0,0,0.06,0,0,0,0.27,0.17,0.5
2023-03-22,50,"پروانه","animals",0,0,0,0,0,0,0.07,0,0
2023-03-22,51,"پرنده/ توتو","animals",0,0,0.12,0.08,0.27,0.07,0.4,0.33,0.5
2023-03-22,52,"پنگوئن","animals",0,0,0,0,0,0,0,0,0
2023-03-22,53,"جوجه","animals",0,0,0.12,0,0,0,0.4,0.25,0.25
2023-03-22,54,"حشره","animals",0,0,0,0,0,0,0.13,0,0
2023-03-22,55,"خرس","animals",0,0,0,0,0,0,0,0.17,0
2023-03-22,56,"خرگوش","animals",0,0,0,0,0,0,0,0,0
2023-03-22,57,"خروس","animals",0,0,0.06,0,0.09,0,0.13,0.08,0
2023-03-22,58,"روباه","animals",0,0,0,0,0,0,0,0,0
2023-03-22,59,"زرافه","animals",0,0,0,0,0,0,0,0.08,0
2023-03-22,60,"زنبور","animals",0,0,0,0,0,0,0.13,0.17,0
2023-03-22,61,"سگ","animals",0,0,0.06,0,0,0,0.33,0.33,0.5
2023-03-22,62,"سنجاب","animals",0,0,0,0,0,0,0,0,0
2023-03-22,63,"شتر","animals",0,0,0,0,0,0,0,0.08,0
2023-03-22,64,"شیر","animals",0,0,0,0,0,0,0.07,0.08,0
2023-03-22,65,"غاز","animals",0,0,0,0,0,0,0.07,0.08,0
2023-03-22,66,"فیل","animals",0,0,0,0,0,0,0,0.08,0
2023-03-22,67,"قورباغه","animals",0,0,0,0,0,0,0.07,0.08,0.25
2023-03-22,68,"کبوتر","animals",0,0,0,0,0,0,0.13,0.08,0.25
2023-03-22,69,"کلاغ","animals",0,0,0.06,0,0,0,0.13,0.17,0.5
2023-03-22,70,"گاو","animals",0,0,0.06,0,0,0,0.13,0.08,0
2023-03-22,71,"گربه","animals",0,0,0.06,0,0.18,0,0.27,0.33,0.5
2023-03-22,72,"گنجشک","animals",0,0,0.06,0,0,0,0.2,0.17,0
2023-03-22,73,"گوسفند","animals",0,0,0.06,0,0.18,0,0.33,0.17,0.5
2023-03-22,74,"لاک پشت","animals",0,0,0,0,0,0,0,0.08,0
2023-03-22,75,"ماهی","animals",0,0,0.06,0,0,0,0.2,0.25,0.25
2023-03-22,76,"مار","animals",0,0,0,0,0,0,0,0.08,0
2023-03-22,77,"مرغ","animals",0,0,0.06,0,0,0,0.07,0.17,0
2023-03-22,78,"مگس","animals",0,0,0,0,0,0,0.13,0.08,0
2023-03-22,79,"مورچه","animals",0,0,0,0,0,0,0.13,0.08,0
2023-03-22,80,"موش","animals",0,0,0,0,0,0,0.07,0.08,0
2023-03-22,81,"میمون","animals",0,0,0,0,0,0,0.07,0,0
2023-03-22,82,"اتوبوس","vehicles",0,0,0.06,0,0,0,0.07,0.08,0.25
2023-03-22,83,"دوچرخه","vehicles",0,0,0.06,0,0,0,0.13,0.17,0.5
2023-03-22,84,"قطار","vehicles",0,0,0,0,0,0,0.07,0.17,0.25
2023-03-22,85,"کامیون","vehicles",0,0,0,0,0,0,0.07,0.08,0
2023-03-22,86,"کشتی / قایق","vehicles",0,0,0,0,0,0,0,0.08,0
2023-03-22,87,"ماشین","vehicles",0,0,0.06,0,0.09,0,0.27,0.25,0.5
2023-03-22,88,"موتور","vehicles",0,0,0.06,0,0.09,0.07,0.2,0.17,0.25
2023-03-22,89,"هلی کوپتر","vehicles",0,0,0,0,0,0,0.07,0,0
2023-03-22,90,"هواپیما","vehicles",0,0,0,0,0,0,0.07,0,0.25
2023-03-22,91,"اسباب بازی","toys",0,0,0.06,0,0,0.07,0.2,0.08,0.25
2023-03-22,92,"بادکنک","toys",0,0,0.06,0,0.09,0.07,0.2,0.08,0.5
2023-03-22,93,"تفنگ","toys",0,0,0.06,0,0,0,0.2,0.17,0
2023-03-22,94,"توپ","toys",0,0.1,0.06,0,0.18,0.21,0.53,0.25,0.5
2023-03-22,95,"جغجغه","toys",0,0.05,0.06,0,0.09,0,0.2,0,0
2023-03-22,96,"عروسک","toys",0,0,0.12,0.08,0.36,0.29,0.47,0.5,0.5
2023-03-22,97,"کتاب","toys",0,0,0.06,0,0,0,0.07,0.08,0
2023-03-22,98,"مکعب/ لگو","toys",0,0,0.06,0,0,0,0.07,0,0
2023-03-22,99,"آب","food_drink",0,0.48,0.5,0.38,0.73,0.5,0.8,0.67,0.5
2023-03-22,100,"آب میوه","food_drink",0,0,0.06,0,0.09,0.07,0.27,0.08,0
2023-03-22,101,"آب نبات/ شکلات","food_drink",0,0,0.06,0,0,0,0.13,0,0
2023-03-22,102,"آش","food_drink",0,0.05,0.06,0,0,0,0.07,0,0.25
2023-03-22,103,"برنج/ پلو","food_drink",0,0.05,0.06,0,0.09,0,0.13,0.08,0
2023-03-22,104,"بیسکویت","food_drink",0,0.1,0.06,0,0,0.07,0.2,0,0
2023-03-22,105,"بستنی","food_drink",0,0.1,0.12,0,0,0.07,0.13,0.08,0
2023-03-22,106,"پفک","food_drink",0,0,0.06,0,0,0,0.13,0,0
2023-03-22,107,"پنیر","food_drink",0,0,0.06,0,0,0,0,0,0
2023-03-22,108,"پرتقال","food_drink",0,0,0.06,0,0,0,0,0,0
2023-03-22,109,"تخم مرغ","food_drink",0,0,0.06,0,0,0,0.13,0.17,0
2023-03-22,110,"چای","food_drink",0,0.05,0.06,0,0.09,0,0.27,0.25,0.25
2023-03-22,111,"سوپ","food_drink",0,0,0.06,0,0,0,0.07,0.08,0.25
2023-03-22,112,"سیب","food_drink",0,0,0.06,0.08,0,0,0.2,0.08,0.25
2023-03-22,113,"شربت","food_drink",0,0.05,0.06,0.08,0,0,0.07,0,0
2023-03-22,114,"شیر","food_drink",0,0.05,0.06,0,0,0,0.2,0.08,0
2023-03-22,115,"شیرینی","food_drink",0,0,0.06,0,0,0,0,0,0
2023-03-22,116,"غذا","food_drink",0,0.05,0.06,0.08,0,0,0.13,0.08,0
2023-03-22,117,"قند","food_drink",0,0,0.06,0,0,0,0.2,0.08,0
2023-03-22,118,"کیک","food_drink",0,0,0.06,0,0,0,0.2,0.08,0
2023-03-22,119,"گردو","food_drink",0,0,0.06,0,0,0,0,0.08,0
2023-03-22,120,"گوشت","food_drink",0,0.05,0.06,0,0,0,0,0.08,0
2023-03-22,121,"ماهی","food_drink",0,0,0.06,0,0,0,0.07,0.08,0
2023-03-22,122,"ماکارونی","food_drink",0,0,0.06,0,0,0,0.07,0,0
2023-03-22,123,"مربا","food_drink",0,0,0.06,0,0,0,0,0,0
2023-03-22,124,"موز","food_drink",0,0,0.06,0,0,0,0.13,0.08,0.25
2023-03-22,125,"میوه","food_drink",0,0,0.06,0,0,0,0,0.08,0
2023-03-22,126,"نان","food_drink",0,0.05,0.06,0.08,0,0.07,0.27,0.17,0.25
2023-03-22,127,"نوشابه","food_drink",0,0,0.06,0,0.09,0,0.13,0.08,0
2023-03-22,128,"هویج","food_drink",0,0.05,0.06,0,0,0,0,0,0
2023-03-22,129,"بلوز","clothing",0,0,0.06,0,0,0,0.13,0,0.25
2023-03-22,130,"پوشک","clothing",0,0,0.06,0,0.09,0,0,0.08,0.25
2023-03-22,131,"پیش بند","clothing",0,0,0.06,0,0,0,0,0,0
2023-03-22,132,"پیراهن","clothing",0,0,0.06,0,0,0,0.07,0,0
2023-03-22,133,"تسبیح","clothing",0,0,0.06,0,0,0,0.07,0.08,0
2023-03-22,134,"جوراب","clothing",0,0,0.06,0,0,0,0.07,0.08,0.25
2023-03-22,135,"چادر","clothing",0,0,0.06,0,0,0,0.07,0,0
2023-03-22,136,"دکمه","clothing",0,0,0.06,0,0,0,0,0,0
2023-03-22,137,"دامن","clothing",0,0.05,0.06,0,0,0,0,0.08,0
2023-03-22,138,"دمپایی","clothing",0,0,0.06,0,0,0,0.27,0.08,0.25
2023-03-22,139,"دستکش","clothing",0,0,0.06,0,0,0,0,0.08,0
2023-03-22,140,"روسری","clothing",0,0.05,0.06,0,0,0,0.07,0,0.25
2023-03-22,141,"زیپ","clothing",0,0,0,0,0,0,0,0,0
2023-03-22,142,"شال","clothing",0,0,0,0,0,0,0,0,0
2023-03-22,143,"شلوار","clothing",0,0,0.06,0,0,0,0,0.08,0
2023-03-22,144,"شورت","clothing",0,0,0.06,0,0,0,0,0,0
