Number,Word (Portuguese),Word (English),Imag_M,Imag_SD,Conc_M,Conc_SD,Subfreq_M,Subfreq_SD,P-PAL_Nlett,P-PAL_Nsyll,P-PAL_Syllabicstruct,P-PAL_PoS,P-PAL_FREQmil,P-PAL_FREQlog10,P-PAL_FREQZipf,P-PAL_ON,P-PAL_OLD20
1,aba,flap,4.09,2.31,4.55,1.88,2.60,1.26,3,2,V.CV,N,1.021,0.306,3.009,8,1.200
2,abacate,avocado,5.40,1.79,6.66,0.65,2.73,1.04,7,4,V.CV.CV.CV,N,0.186,0.074,2.269,0,2.250
3,abacaxi,pineapple,5.66,1.89,6.75,0.58,3.76,1.44,7,4,V.CV.CV.CV,N,0.068,0.029,1.835,0,2.750
4,abadia,abbey,3.31,1.89,4.57,1.91,2.20,0.99,6,4,V.CV.CV.V,N,0.933,0.286,2.970,2,1.800
5,abandonado,derelict,3.92,1.77,3.45,1.83,3.93,1.12,10,5,V.CVC.CV.CV.CV,"ADJ,V",17.998,1.279,4.255,1,1.950
6,abandono,abandonment,3.42,1.77,3.36,1.77,3.88,1.44,8,4,V.CVC.CV.CV,"N,V",35.644,1.564,4.552,2,2.100
7,abate,slaughter,3.63,1.91,3.61,1.59,2.80,1.32,5,3,V.CV.CV,"N,V",11.573,1.100,4.064,8,1.300
8,abatido,dejected,4.16,1.60,3.69,1.67,4.05,1.54,7,4,V.CV.CV.CV,"ADJ,V",6.292,0.863,3.799,2,1.800
9,abelha,bee,6.29,1.41,6.77,0.50,4.22,1.38,6,3,V.CV.CCV,N,0.860,0.270,2.934,1,1.850
10,aberração,freak,3.72,1.85,3.53,1.93,2.98,1.23,9,4,V.CVC.CV.CVV,N,1.998,0.477,3.301,0,2.650
11,abertura,opening,3.44,1.92,3.90,1.84,5.29,1.36,8,4,V.CVC.CV.CV,N,151.866,2.184,5.182,1,2.350
12,abóbora,pumpkin,5.75,1.99,6.45,0.89,3.42,1.23,7,4,V.CV.CV.CV,N,0.879,0.274,2.944,1,2.650
13,abolição,abolishment,2.52,1.52,3.08,1.62,2.90,1.28,8,4,V.CV.CV.CVV,N,10.802,1.072,4.034,1,2.400
14,abordagem,approach,3.21,1.74,2.89,1.82,4.14,1.44,9,4,V.CVC.CV.CVC,N,21.432,1.351,4.331,1,2.200
15,aborrecido,bored,4.03,1.67,3.17,1.85,4.96,1.09,10,5,V.CVC.CV.CV.CV,"ADJ,V",3.776,0.679,3.577,1,2.250
16,aborto,abortion,4.27,1.69,4.67,2.12,2.78,0.71,6,3,V.CVC.CV,"N,V",40.583,1.619,4.608,5,1.600
17,abraço,hug,6.05,1.20,5.65,1.39,5.57,1.30,6,3,V.CCV.CV,"N,V",8.437,0.975,3.926,3,1.650
18,abrigado,sheltered,4.26,1.85,4.03,1.59,3.84,1.50,8,4,V.CCV.CV.CV,"ADJ,V",0.660,0.220,2.819,2,1.750
