,aoa,item_id,item_kind,item_definition,category,lexical_category,uni_lemma,turkish_concreteness_rating
1,NA,item_1,word,cee,sounds,other,peekaboo,NA
2,NA,item_2,word,cıss,sounds,other,don't,NA
3,23,item_3,word,çufçuf,sounds,other,choo choo,NA
4,10,item_4,word,düt,sounds,other,vroom,NA
5,NA,item_5,word,ham,sounds,other,yum yum,NA
6,NA,item_6,word,havhav,sounds,other,woof woof,NA
7,11,item_7,word,hop/hoppa,sounds,other,up,NA
8,14,item_8,word,mee,sounds,other,baa baa,NA
9,12,item_9,word,pisi-pisi,sounds,other,meow,NA
10,13,item_10,word,şişt,sounds,other,shh,NA
11,NA,item_11,word,uf,sounds,other,ouch,NA
12,24,item_12,word,vak vak,sounds,other,quack quack,NA
13,20,item_13,word,vınn,sounds,other,vroom,NA
14,26,item_14,word,arı,animals,nouns,bee,NA
15,28,item_15,word,aslan,animals,nouns,lion,NA
16,22,item_16,word,at (animal),animals,nouns,horse,NA
17,24,item_17,word,ayı,animals,nouns,bear,NA
18,23,item_18,word,balık (animal),animals,nouns,fish (animal),6.79
19,34,item_19,word,baykuş,animals,nouns,owl,NA
20,24,item_20,word,böcek,animals,nouns,bug,NA
21,31,item_21,word,deve,animals,nouns,camel,NA
22,34,item_22,word,domuz,animals,nouns,pig,NA
23,25,item_23,word,eşek,animals,nouns,donkey,6.8
24,28,item_24,word,fare,animals,nouns,mouse,NA
25,28,item_25,word,fil,animals,nouns,elephant,NA
26,33,item_26,word,geyik,animals,nouns,deer,NA
27,28,item_27,word,hayvan,animals,nouns,animal,6.49
28,28,item_28,word,horoz,animals,nouns,rooster,NA
29,24,item_29,word,inek,animals,nouns,cow,NA
30,33,item_30,word,kaplan,animals,nouns,tiger,NA
31,32,item_31,word,karga,animals,nouns,crow,NA
32,28,item_32,word,karınca,animals,nouns,ant,6.88
33,34,item_33,word,kartal,animals,nouns,eagle,NA
34,29,item_34,word,keçi,animals,nouns,goat,6.04
35,19,item_35,word,kedi,animals,nouns,cat,NA
36,27,item_36,word,koyun,animals,nouns,sheep,NA
37,21,item_37,word,köpek,animals,nouns,dog,NA
38,30,item_38,word,kurbağa,animals,nouns,frog,NA
39,19,item_39,word,kuş,animals,nouns,bird,6.81
